Alpha,Assn_0,Assn_1,BER,Iteration,LL,Theta
1.0,165.0,176.0,0.0,0,0.0,0.00888888888889
1.26095891788,47.0,45.0,0.662610179575,1,-4282.03274843,0.00658298421238
1.39728488706,62.0,70.0,0.625014914426,2,-4034.40962784,0.00746413571589
1.42042240354,18.0,93.0,0.770247490512,3,-4030.9485632,0.00776108147388
1.47578462713,43.0,93.0,0.730449239369,4,-3883.54905725,0.00802080305617
1.51336564,46.0,97.0,0.666927910997,5,-3870.40056831,0.00785187955894
1.52792492425,46.0,99.0,0.71665126103,6,-3861.01324692,0.00787750652998
1.53837255246,49.0,101.0,0.664528788393,7,-3859.15677749,0.00778832838141
1.54114725512,48.0,101.0,0.720570957903,8,-3856.58998669,0.0078575395283
1.59215423803,57.0,101.0,0.695378493407,9,-3832.13108353,0.0076652853345
1.59246767926,50.0,101.0,0.71552591438,10,-3847.65909111,0.00773442350784
